类别,省,市,县,公司简称,行政区划,公司全名,行业,员工人数,总市值(亿),股票代码,注册地,办公地,官网,成立日期,上市日期
深创业板,北京市,市辖区,海淀区,中科创达,110108,中科创达软件股份有限公司,IT服务,15031,244.77,300496,北京市海淀区清华东路9号创达大厦1层101-105室(东升地区),北京市海淀区清华东路9号院3号楼创达大厦,www.thundersoft.com,3/6/2008,12/10/2015
深创业板,江西省,景德镇市,昌江区,富祥药业,360202,江西富祥药业股份有限公司,化学制药,1963,45.65,300497,江西省景德镇市昌江区鱼丽工业区2号(鱼山与丽阳交界处),江西省景德镇市昌江区鱼丽工业区2号(鱼山与丽阳交界处),www.fushine.cn,3/19/2002,12/22/2015
深创业板,广东省,云浮市,新兴县,温氏股份,445321,温氏食品集团股份有限公司,养殖业,52858,1131.83,300498,广东省云浮市新兴县新城镇东堤北路9号,广东省云浮市新兴县新城镇东堤北路9号,www.wens.com.cn,7/25/1993,11/2/2015
深创业板,广东省,广州市,黄埔区,高澜股份,440112,广州高澜节能技术股份有限公司,专用设备,661,57.26,300499,广东省广州市黄埔区高新技术产业开发区科学城南云五路3号,广东省广州市黄埔区高新技术产业开发区科学城南云五路3号,www.goaland.com.cn,6/28/2001,2/2/2016
深创业板,江苏省,苏州市,吴中区,启迪设计,320506,启迪设计集团股份有限公司,建筑装饰,1666,17.94,300500,江苏省苏州市吴中区中国(江苏)自由贸易试验区苏州片区苏州工业园区旺茂街9号,江苏省苏州市吴中区工业园区旺茂街9号,www.tusdesign.com,3/2/1988,2/4/2016
深创业板,上海市,市辖区,松江区,海顺新材,310117,上海海顺新型药用包装材料股份有限公司,包装印刷,1018,27.89,300501,上海市松江区莘砖公路3456弄,上海市松江区洞泾镇莘砖公路3456弄,www.hysum.com,1/17/2005,2/4/2016
深创业板,四川省,成都市,双流区,新易盛,510116,成都新易盛通信技术股份有限公司,通信设备,5212,647.35,300502,四川省成都市双流区中国(四川)自由贸易试验区黄甲街道物联大道510号,四川省成都市双流区中国(四川)自由贸易试验区黄甲街道物联大道510号,www.eoptolink.com,4/14/2008,3/3/2016
深创业板,广东省,广州市,黄埔区,昊志机电,440112,广州市昊志机电股份有限公司,通用设备,2248,71.13,300503,广东省广州市黄埔区禾丰路68号,广东省广州市黄埔区禾丰路68号,www.haozhihs.com,12/13/2006,3/9/2016
深创业板,四川省,成都市,大邑县,天邑股份,510129,四川天邑康和通信股份有限公司,通信设备,1839,37.62,300504,四川省成都市大邑县晋原镇雪山大道一段198号,四川省成都市大邑县晋原镇雪山大道一段198号,www.tianyisc.com,1/14/2001,3/30/2018
深创业板,云南省,昆明市,东川区,川金诺,530113,昆明川金诺化工股份有限公司,农化制品,2065,46.21,300505,云南省昆明市东川区铜都镇四方地工业园区,云南省昆明市呈贡区乌龙街道办事处七彩云南第壹城1#办公楼(双子星·天枢)55层,www.cjnphos.com,6/1/2005,3/15/2016
深创业板,广东省,深圳市,南山区,*ST名家,440305,深圳市名家汇科技股份有限公司,建筑装饰,205,23.16,300506,广东省深圳市南山区粤海街道高新区社区高新南九道10号深圳湾科技生态园10栋A2001(20层01-06号),广东省深圳市南山区粤海街道高新区社区高新南九道10号深圳湾科技生态园10栋A2001(20层01-06号),www.minkave.com,5/7/2001,3/24/2016
深创业板,江苏省,扬州市,邗江区,苏奥传感,321003,江苏奥力威传感高科股份有限公司,汽车零部件,1135,58.15,300507,江苏省扬州市邗江区高新技术产业开发区祥园路158号,江苏省扬州市邗江区高新技术产业开发区祥园路158号,www.yos.net.cn,11/18/1993,4/29/2016
深创业板,上海市,市辖区,闵行区,维宏股份,310112,上海维宏电子科技股份有限公司,计算机设备,551,32.06,300508,上海市闵行区颛兴东路1277弄29号四楼,上海市奉贤区沪杭公路1590号;上海市闵行区都会路975弄119号,www.weihong.com.cn,6/3/2007,4/19/2016
深创业板,江苏省,苏州市,张家港市,新美星,320582,江苏新美星包装机械股份有限公司,专用设备,968,23.12,300509,江苏省苏州市张家港市经济开发区南区(新泾东路),江苏省苏州市张家港市经济开发区南区(新泾东路),www.newamstar.com,10/27/2003,4/25/2016
深创业板,吉林省,长春市,双阳区,金冠股份,220112,吉林省金冠电气股份有限公司,电网设备,981,32.74,300510,吉林省长春市双阳区双阳经济开发区延寿路4号,吉林省长春市双阳区双阳经济开发区延寿路4号,www.jljgdq.cn,10/18/2006,5/6/2016
