公司简称,全称,行业,销售额,利润(万元),利润率,市,区县,
电魂网络,杭州电魂网络科技股份有限公司,互联网,36306,15895,43.80%,杭州市,滨江区,浙江省杭州市滨江区西兴街道滨安路435号
创新医疗,创新医疗管理股份有限公司,医疗保健服务,60637,15612,25.70%,绍兴市,诸暨市,浙江省诸暨市山下湖镇珍珠工业园
洁美科技,浙江洁美电子科技股份有限公司,电子电气组件与设备,69402,15308,22.10%,湖州市,安吉县,浙江省安吉经济开发区阳光工业园区
慈星股份,宁波慈星股份有限公司,工业机械,105740,15140,14.30%,宁波市,慈溪市,浙江省宁波杭州湾新区滨海四路708号
长城影视,长城影视股份有限公司,广播与娱乐,72655,15121,20.80%,杭州市,余杭区,浙江省杭州市文二西路西溪文化创意园长城影视证券部
鲍斯股份,宁波鲍斯能源装备股份有限公司,工业机械,78107,14949,19.10%,宁波市,奉化市,浙江省奉化市西坞街道尚桥路18号
浙江仙通,浙江仙通橡塑股份有限公司,汽车与零配件（II）,49559,14242,28.70%,台州市,仙居县,浙江省台州市仙居县现代工业集聚区
大元泵业,浙江大元泵业股份有限公司,专业零售,77188,14184,18.40%,台州市,温岭市,浙江省温岭市泽国镇丹崖工业区
三力士,三力士股份有限公司,工业机械,61923,14120,22.80%,绍兴市,绍兴县,浙江省绍兴县柯岩街道余渚村
天通股份,天通控股股份有限公司,电子电气组件与设备,156689,14014,8.90%,嘉兴市,海宁市,浙江省海宁经济开发区双联路129号
银江股份,银江股份有限公司,计算机服务,130056,13877,10.70%,杭州市,西湖区,浙江省杭州市西湖区西湖经济科技园西园八路2号
珀莱雅,珀莱雅化妆品股份有限公司,化工品（II）,121313,13873,11.40%,杭州市,西湖区,浙江省杭州市西湖区世贸丽晶城欧美中心1号楼（D区）1605室
亿利达,浙江亿利达风机股份有限公司,工业机械,96290,13845,14.40%,台州市,路桥区,浙江省台州市路桥区横街镇亿利达路
起步股份,起步股份有限公司,服装与服饰,89702,13791,15.40%,丽水市,青田县,浙江省青田县油竹新区侨乡工业园区赤岩3号
古越龙山,浙江古越龙山绍兴酒股份有限公司,酿酒业,118674,13736,11.60%,绍兴市,越城区,浙江省绍兴市北海桥
永贵电器,浙江永贵电器股份有限公司,电子电气组件与设备,84903,13638,16.10%,台州市,天台县,浙江省天台县白鹤镇东园路5号（西工业区）
九洲药业,浙江九洲药业股份有限公司,制药,123429,13612,11.00%,台州市,椒江区,浙江省台州市椒江区外沙工业区
会稽山,会稽山绍兴酒股份有限公司,酿酒业,75902,13611,17.90%,绍兴市,柯桥区,浙江省绍兴市柯桥区湖塘街道杨绍路2579号
永高股份,永高股份有限公司,通用化工品,321646,13574,4.20%,台州市,黄岩区,浙江省台州市黄岩区黄椒路555号永高双浦新厂区
杭电股份,杭州电缆股份有限公司,电子电气组件与设备,296173,13249,4.50%,杭州市,江干区,浙江省杭州经济技术开发区6号大街68-1
诺力股份,诺力智能装备股份有限公司,汽车,152301,13012,8.50%,湖州市,长兴县,浙江省长兴县太湖街道长州路528号
唐德影视,浙江唐德影视股份有限公司,广播与娱乐,52881,12754,24.10%,金华市,东阳市,浙江省横店影视产业实验区C3-028
宁波热电,宁波热电股份有限公司,综合公共事业,128622,12578,9.80%,宁波市,江东区,浙江省宁波市江东区昌乐路187号发展大厦B座7F
