2017.11.16-11:20:10 ['家乐福(一点红大道店)', '29.462225', '119.9286', '浙江省金华市浦江县一点红大道8']
2017.11.16-11:20:10 ['家乐福超市', '29.271637', '120.307399', '浙江省金华市东阳市S310']
2017.11.16-11:20:10 ['家乐福电器商行', '29.308143', '120.09214', '浙江省金华市义乌市桥西街41号']
2017.11.16-11:20:11 ['康庄路家乐福超市', '29.169407', '120.328077', '浙江省金华市东阳市东磁路86号']
2017.11.16-11:20:32 ########### except 1 ######################
2017.11.16-11:20:32 ['家乐福购物(余家殿店)', '29.403851', '120.146154', '浙江省金华市义乌市苏和路']
2017.11.16-11:20:33 ['乐语通讯(西湖大道家乐福店)', '29.213974', '119.485957', '浙江省金华市兰溪市延安路141号']
2017.11.16-11:20:33 ['沃尔玛(金华时代广场店)', '29.107161', '119.656253', '浙江省金华市婺城区八一北街106号']
2017.11.16-11:20:34 ['沃尔玛(义乌世纪店)', '29.308543', '120.081939', '浙江省金华市义乌市城中中路102号']
2017.11.16-11:20:34 ['沃尔玛(浦江店)', '29.457891', '119.899522', '浙江省金华市浦江县人民东路43号']
2017.11.16-11:20:35 ['大润发(金华店)', '29.077063', '119.663911', '浙江省金华市婺城区三晖路15号']
2017.11.16-11:20:35 ['大润发', '29.298612', '120.244976', '浙江省金华市东阳市甘溪西街']
2017.11.16-11:20:36 ['大润发百货', '29.297605', '120.051048', '浙江省金华市义乌市戚继光路386号']
2017.11.16-11:20:36 ['大润发(九铃东路店)', '28.901935', '120.043096', '浙江省金华市永康市九铃东路3151号']
2017.11.16-11:20:36 ['大润发(江东店)', '29.322476', '120.134361', '浙江省金华市义乌市江东东路505号']
2017.11.16-11:20:37 ['大润发', '28.898476', '119.833597', '浙江省金华市武义县青年路22号']
2017.11.16-11:20:37 ['大润发', '29.32607', '120.16251', '浙江省金华市义乌市通宝路']
2017.11.16-11:20:37 ['大润发(江滨西路店)', '29.299067', '120.060131', '浙江省金华市义乌市江滨西路496号-南10米']
2017.11.16-11:20:38 ['大润发时代(塔江山店)', '29.185129', '119.923357', '浙江省金华市金东区东黄线']
2017.11.16-11:20:38 ['大润发百货超市', '29.290202', '120.06451', '浙江省金华市义乌市凤栖街']
2017.11.16-11:20:38 ['大润发(樊村西南)', '29.298339', '120.101999', '浙江省金华市义乌市义东路辅路']
2017.11.16-11:20:39 ['家乐福便利店', '30.073607', '122.164721', '浙江省舟山市定海区邮电路7号']
2017.11.16-11:20:44 ['家乐福(商海南街店)', '28.577853', '121.368983', '浙江省台州市路桥区商海南街501号']
2017.11.16-11:20:45 ['家乐福超市', '28.372813', '121.499835', '浙江省台州市温岭市街新路']
2017.11.16-11:20:45 ['家乐福便民店', '28.894488', '120.839052', '浙江省台州市仙居县S322(三五省道)']
2017.11.16-11:20:45 ['家乐福水果干果店', '28.574739', '121.352853', '浙江省台州市路桥区灵山西街308号']
2017.11.16-11:20:46 ['大润发', '28.617691', '121.42303', '浙江省台州市椒江区车站街216号']
2017.11.16-11:20:47 ['大润发(黄岩店)', '28.637489', '121.266749', '浙江省台州市黄岩区洞天路288号']
2017.11.16-11:20:47 ['大润发', '28.121792', '121.256368', '浙江省台州市玉环县七六省道辅路']
2017.11.16-11:20:48 ['大润发', '29.108767', '121.397017', '浙江省台州市三门县广场路1号-14']
2017.11.16-11:20:48 ['大润发', '29.105947', '121.4063', '浙江省台州市三门县环湖东路']
2017.11.16-11:20:48 ['大润发家电区', '28.637602', '121.267152', '浙江省台州市黄岩区洞天路288号']
2017.11.16-11:20:49 ['大润发惠民', '28.912215', '121.216196', '浙江省台州市临海市大洋东路']
2017.11.16-11:20:49 ['大润发(新华店)', '29.121729', '121.378364', '浙江省台州市三门县新兴街53号']
2017.11.16-11:20:49 ['大润发(仙居店)', '28.86353', '120.743789', '浙江省台州市仙居县穿城中路266号']
2017.11.16-11:20:50 ['台州大润发（杜桥店）', '28.770334', '121.499393', '浙江省台州市临海市前王路52号']
2017.11.16-11:20:50 ['大润发(三门店)', '29.11874', '121.367263', '浙江省台州市三门县西区大道']
2017.11.16-11:20:50 ['大润发(楼山店)', '28.419168', '121.397249', '浙江省台州市温岭市百丈北路']
2017.11.16-11:20:51 ['大润发(万昌西路店)', '28.3856', '121.360829', '浙江省台州市温岭市万昌西路辅路']
2017.11.16-11:20:51 ['麦德龙(台州开发区商场)', '28.653953', '121.463336', '浙江省台州市椒江区疏港大道']
2017.11.16-11:20:52 ['家乐福(潜山路店)', '31.855731', '117.236998', '安徽省合肥市蜀山区潜山路413号']
2017.11.16-11:20:53 ['家乐福(马鞍山路店)', '31.853159', '117.308525', '安徽省合肥市包河区淝河路713号']
2017.11.16-11:20:53 ['家乐福(长江西路店)', '31.859734', '117.262831', '安徽省合肥市蜀山区长江西路辅路']
2017.11.16-11:20:53 ['家乐福(合肥宝业店)', '31.876088', '117.343289', '安徽省合肥市瑶海区东二环路辅路']
2017.11.16-11:20:54 ['家乐福(站前路)', '31.718612', '117.160515', '安徽省合肥市肥西县站前路']
2017.11.16-11:20:54 ['家乐福', '31.719745', '117.159732', '安徽省合肥市肥西县合安路辅路']
2017.11.16-11:20:54 ['家乐福来访处', '31.876099', '117.344085', '安徽省合肥市瑶海区东二环路辅路']
2017.11.16-11:20:55 ['沃尔玛(翡翠路店)', '31.796766', '117.215331', '安徽省合肥市蜀山区翡翠路30']
2017.11.16-11:20:55 ['沃尔玛(合肥合作化南路店)', '31.835285', '117.258706', '安徽省合肥市蜀山区望江西路99号']
