销售额,利润(万元),利润率,市,区县,公司简称,全称,,,,,,
249732 ,35496 ,14.2%,杭州市,西湖区,华策影视,浙江华策影视股份有限公司,广播与娱乐,华策影视(300133),浙江省杭州市文二西路683号西溪创意产业园C-C座,浙江省杭州市西湖区文二西路683号西溪创意产业园C-C座,www.huacemedia.com,2010/10/26
124008 ,35312 ,28.5%,嘉兴市,海宁市,海宁皮城,海宁中国皮革城股份有限公司,百货零售,海宁皮城(002344),浙江省海宁市海州西路201号,浙江省海宁市海州西路201号,www.zgpgc.com,2010/1/26
166265 ,35168 ,21.2%,杭州市,滨江区,聚光科技,聚光科技(杭州)股份有限公司,电子设备,聚光科技(300203),浙江省杭州市滨江区滨安路760号,浙江省杭州市滨江区阡陌路459号,www.fpi-inc.com,2011/4/15
282013 ,34669 ,12.3%,杭州市,滨江区,金圆股份,金圆水泥股份有限公司,建材与构件,金圆股份(000546),吉林省长春市净月开发区中信城枫丹白露一期3栋906室,浙江省杭州市滨江区江虹路1750号润和信雅达创意中心1号楼22楼,--,1993/12/15
371381 ,34636 ,9.3%,湖州市,和孚镇工业园区,尤夫股份,浙江尤夫高新纤维股份有限公司,通用化工品,尤夫股份(002427),浙江省湖州市和孚镇工业园区,浙江省湖州市和孚镇工业园区,www.unifull.com,2010/6/8
68430 ,34171 ,49.9%,绍兴市,新昌省级高新技术园区,美盛文化,美盛文化创意股份有限公司,广播与娱乐,美盛文化(002699),浙江省绍兴市新昌省级高新技术园区内（南岩）,浙江省绍兴市新昌省级高新技术园区内（南岩）,www.chinarising.com.cn,2012/9/11
172173 ,33928 ,19.7%,台州市,椒江区,海翔药业,浙江海翔药业股份有限公司,制药,海翔药业(002099),浙江省台州市椒江区外沙支路100号,浙江省台州市椒江区外沙支路100号,www.hisoar.com,2006/12/26
1255857 ,33286 ,2.7%,嘉兴市,南湖区,闻泰科技,闻泰科技股份有限公司,通讯设备,闻泰科技(600745),湖北省黄石市团城山6号小区,浙江省嘉兴市南湖区亚中路777号,http://www.wingtech.com,1996/8/28
303437 ,32959 ,10.9%,温州市,瑞安市,华峰氨纶,浙江华峰氨纶股份有限公司,通用化工品,华峰氨纶(002064),浙江省瑞安市莘塍工业园区,浙江省瑞安经济开发区开发区大道1788号,www.spandex.com.cn,2006/8/23
201813 ,32876 ,16.3%,嘉兴市,秀洲区,台华新材,浙江台华新材料股份有限公司,服装与服饰,台华新材(603055),浙江省嘉兴市秀洲区王店镇工业园区,浙江省嘉兴市秀洲区王店镇工业园区,www.textaihua.com,2017/9/21
151741 ,32359 ,21.3%,台州市,椒江区,水晶光电,浙江水晶光电科技股份有限公司,电子电气组件与设备,水晶光电(002273),浙江省台州市椒江区星星电子产业区A5号,浙江省台州市椒江区三甲街道开发大道东段2198号,www.crystal-optech.com,2008/9/19
